idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1270,repa,(주)오리엔트조선,부산,사하,구평,부산 사하구 구평동?495-31,35.1045772,128.974817,,0,0,
1271,repa,(주)케이티엠,부산,사하,구평,부산 사하구 구평동?478-3,35.1045772,128.974817,,0,0,
1272,repa,(주)포코엔지니어링,부산,사하,구평,부산 사하구 구평동 495-6,35.0570162,128.9972714,,0,0,
1273,repa,강남조선,부산,사하,구평,부산 사하구 구평동 399,35.0723361,128.9916737,,0,0,
1274,repa,고토기술,부산,사하,구평,부산 사하구 구평동 402-20,35.0710852,128.9915878,,0,0,
1275,repa,남해발전기,부산,사하,구평,부산시 사하구 구평동 ?487-3,35.081925,128.987775,,0,0,
1276,repa,대경마린엔지니어링,부산,사하,구평,부산 사하구 구평동 402-43,35.0708599,128.9913513,,0,0,
1277,repa,대명마린(주),부산,사하,구평,부산 사하구 구평동?368-1,35.1045772,128.974817,,0,0,
1278,repa,대평조선소,부산,사하,구평,부산 사하구 구평동 495-17,35.0505985,128.9997644,,0,0,
1279,repa,동경기전플랜트,부산,사하,구평,부산 사하구 구평동 478-3,35.0544649,128.9968916,,0,0,
1280,repa,동해조선,부산,사하,구평,부산 사하구 구평동 495-11,35.0549789,128.9980599,,0,0,
1281,repa,부성산업,부산,사하,구평,부산시 사하구 구평동?491-4,35.1045772,128.974817,,0,0,
1282,repa,삼우티이에스(주),부산,사하,구평,부산 사하구 구평동 402-42,35.0708765,128.9915617,,0,0,
